Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tajikistan,None,5,3,2.1,2,1,,,,,,,,,1,,1,1,1,1,1,1,,,,,,,,,,None
Thailand,None,,,,,16,,,,,,,,,,,,,,,,,,,31.8,,,,,,,None
Timor-Leste,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Tuvalu,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Tanzania,None,0.8,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,None
Uruguay,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None
Uzbekistan,None,22.3,20.2,17.5,16.3,13.1,12.2,12.1,10.8,12.4,11.6,10.7,11.2,9.6,7.9,9.9,6.3,9.4,8.6,9,9.3,7,6.3,5.7,,,,,,,,None
"Venezuela, Bolivarian Republic of",None,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,None
Vietnam,None,,,,,39.8,,,,,,89.3,,,,,,,,,,106.8,,,92.8,,,,,,,None
Zambia,None,,,,,0.1,,,,,,0.1,,,,,,,,,,,,,,,,,,,,None
Zimbabwe,None,,,,,13.2,,,,,,27,,,,,,7.2,,,,,,,,,,,,,,None
