GEM Mine ID,Country,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),GEM Wiki Page (Non-ENG),Status,Capacity (Mtpa),Opening Year,ROM or Saleable,"Coal Output (Annual, Mt) 2023",Output Accuracy,"Coal Output (Annual, Mt) 2022",Output Accuracy,"Coal Output (Annual, Mt) 2021",Output Accuracy,"Coal Output (Annual, Mt) 2020",Output Accuracy,"Coal Output (Annual, Mt) 2019",Output Accuracy,"Coal Output (Annual, Mt) 2018",Output Accuracy,"Coal Output (Annual, Mt) 2017",Output Accuracy
M2382,China,Hongxing Coal Mine,,??????????,https://www.gem.wiki/%E9%95%BF%E6%B2%BB%E7%BA%A2%E5%85%B4%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.2,1989,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M1976,China,Ji'anda Coal Mine,,???????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%99%86%E5%90%88%E9%9B%86%E5%9B%A2%E5%9F%BA%E5%AE%89%E8%BE%BE%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.2,2012,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M2383,China,Xinzhi Coal Mine,,????????????????,https://www.gem.wiki/%E9%9C%8D%E5%B7%9E%E7%85%A4%E7%94%B5%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%BE%9B%E7%BD%AE%E7%85%A4%E7%9F%BF,Operating,1.2,1958,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,1.98,Estimated,1.98,Estimated,-,
M1942,China,Yitian Coal Mine,,????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%BD%9E%E5%AE%89%E9%9B%86%E5%9B%A2%E8%92%B2%E5%8E%BF%E4%BC%8A%E7%94%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.8,2008,ROM,1.34,Estimated,1.35,Estimated,-,,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M2292,China,Zhaiyadi Coal Mine,,?????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%9F%B3%E6%9E%97%E5%AF%A8%E5%B4%96%E5%BA%95%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.75,2000,ROM,1.30,Estimated,1.31,Estimated,1.30,Estimated,1.22,Estimated,1.24,Estimated,1.24,Estimated,-,
M1792,China,Majunyu Coal Mine,,???????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E9%A9%AC%E5%86%9B%E5%B3%AA%E7%85%A4%E7%84%A6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.2,2000,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M0236,China,Hequ Jiuxian Coal Mine,,?????????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%9B%E5%87%BA%E5%8F%A3%E9%9B%86%E5%9B%A2%E6%B2%B3%E6%9B%B2%E6%97%A7%E5%8E%BF%E9%9C%B2%E5%A4%A9%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,10,2016,ROM,7.44,Estimated,11.98,Estimated,7.45,Estimated,5.58,Estimated,5.65,Estimated,5.65,Estimated,-,
M0240,China,Hongdunzi No. 2 Coal Mine,,???????????????,https://www.gem.wiki/%E5%AE%81%E5%A4%8F%E7%BA%A2%E5%A2%A9%E5%AD%90%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%BA%A2%E4%BA%8C%E7%85%A4%E7%9F%BF,Operating,2.4,2024,ROM,-,,-,,-,,-,,-,,-,,-,
M3138,China,Puxian Baozigou Coal Mine,,????????????????????,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E7%85%A4%E7%82%AD%E8%BF%9B%E5%87%BA%E5%8F%A3%E9%9B%86%E5%9B%A2%E8%92%B2%E5%8E%BF%E8%B1%B9%E5%AD%90%E6%B2%9F%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.5,2012,ROM,1.12,Estimated,0.67,Estimated,0.67,Estimated,0.63,Estimated,0.64,Estimated,0.64,Estimated,-,
M4396,China,Taiyuan Dongfeng Coal Mine,,????????????,https://www.gem.wiki/%E5%A4%AA%E5%8E%9F%E4%B8%9C%E5%B1%B1%E4%B8%9C%E5%B3%B0%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,2.4,2015,ROM,1.79,Estimated,0.45,Estimated,0.45,Estimated,0.42,Estimated,0.42,Estimated,0.42,Estimated,-,
