GEM Mine ID,Country,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),GEM Wiki Page (Non-ENG),Status,Capacity (Mtpa),Opening Year,ROM or Saleable,"Coal Output (Annual, Mt) 2023",Output Accuracy,"Coal Output (Annual, Mt) 2022",Output Accuracy,"Coal Output (Annual, Mt) 2021",Output Accuracy,"Coal Output (Annual, Mt) 2020",Output Accuracy,"Coal Output (Annual, Mt) 2019",Output Accuracy,"Coal Output (Annual, Mt) 2018",Output Accuracy,"Coal Output (Annual, Mt) 2017",Output Accuracy
M1103,China,Bojiang Haizi Coal Mine,,???????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E9%93%B6%E5%AE%8F%E8%83%BD%E6%BA%90%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%B3%8A%E6%B1%9F%E6%B5%B7%E5%AD%90%E7%85%A4%E7%9F%BF,Operating,6,2019,ROM,4.46,Estimated,2.25,Estimated,2.24,Estimated,2.09,Estimated,-,,-,,-,
M0186,China,Buertai Coal Mine,,?????????????????,https://www.gem.wiki/%E4%B8%AD%E5%9B%BD%E7%A5%9E%E5%8D%8E%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B8%83%E5%B0%94%E5%8F%B0%E7%85%A4%E7%9F%BF,Operating,20,2008,ROM,14.88,Estimated,14.98,Estimated,14.90,Estimated,13.96,Estimated,14.12,Estimated,14.12,Estimated,-,
M0193,China,Changcheng No. 5 Coal Mine,,?????????????????????,https://www.gem.wiki/%E9%84%82%E6%89%98%E5%85%8B%E5%89%8D%E6%97%97%E9%95%BF%E5%9F%8E%E4%BA%94%E5%8F%B7%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%95%BF%E5%9F%8E%E4%BA%94%E5%8F%B7%E7%85%A4%E7%9F%BF,Operating,1.8,2022,ROM,1.34,Estimated,2.44,Reported,-,,-,,-,,-,,-,
M0194,China,Changcheng No. 6 Coal Mine,,?????????????????????,https://www.gem.wiki/%E9%84%82%E6%89%98%E5%85%8B%E5%89%8D%E6%97%97%E9%95%BF%E5%9F%8E%E5%85%AD%E5%8F%B7%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%95%BF%E5%9F%8E%E5%85%AD%E5%8F%B7%E7%85%A4%E7%9F%BF,Operating,1.5,2022,ROM,1.12,Estimated,1.43,Reported,-,,-,,-,,-,,-,
M1110,China,Cuncaota Coal Mine,Cuncaota No.1 Coal Mine,?????????????????,https://www.gem.wiki/%E4%B8%AD%E5%9B%BD%E7%A5%9E%E5%8D%8E%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%AF%B8%E8%8D%89%E5%A1%94%E7%85%A4%E7%9F%BF,Operating,2.4,1991,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,1.69,Estimated,-,
M2457,China,Dadi Refined Coal Mine,,??????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E4%BC%8A%E6%B3%B0%E7%85%A4%E7%82%AD%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%A4%A7%E5%9C%B0%E7%B2%BE%E7%85%A4%E7%9F%BF,Operating,2.4,2008,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,1.69,Estimated,-,
M1863,China,Dayan No. 3 Coal Mine,,???????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%A4%A7%E9%9B%81%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%AC%AC%E4%B8%89%E7%85%A4%E7%9F%BF,Operating,2.7,2007,ROM,2.01,Estimated,2.02,Estimated,1.56,Estimated,1.47,Estimated,1.48,Estimated,1.48,Estimated,-,
M1875,China,Dilibangwusu Coal Mine,,??????????????????,https://www.gem.wiki/%E4%B9%8C%E6%B5%B7%E5%B8%82%E5%8D%8E%E8%B5%84%E7%85%A4%E7%84%A6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%BB%B4%E5%8A%9B%E5%B8%AE%E4%B9%8C%E7%B4%A0%E7%85%A4%E7%9F%BF,Operating,1.2,2013,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M1876,China,Dingjiaqu Coal Mine,,????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E4%BC%8A%E6%B3%B0%E5%90%8C%E8%BE%BE%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E4%B8%81%E5%AE%B6%E6%B8%A0%E7%85%A4%E7%9F%BF,Operating,1.5,2008,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M2403,China,Dongbo Coal Mine,,?????????????????,https://www.gem.wiki/%E4%BC%8A%E9%87%91%E9%9C%8D%E6%B4%9B%E6%97%97%E4%B8%9C%E5%8D%9A%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF,Operating,1.2,2005,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M2433,China,Dundenuo'er Surface Coal Mine,,?????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E9%9C%8D%E7%85%A4%E4%BA%BF%E8%AF%9A%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%95%A6%E5%BE%B7%E8%AF%BA%E5%B0%94%E9%9C%B2%E5%A4%A9%E7%85%A4%E7%9F%BF,Operating,1.8,2005,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,-,
M1895,China,Duolun Coal Mine,??????????????????,???????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E8%92%99%E4%B8%9C%E7%95%85%E5%BD%A4%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%A4%9A%E4%BC%A6%E7%85%A4%E7%9F%BF,Operating,1.2,2005,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M0211,China,Eastern Yiminhe No. 1 Coal Mine,,?????????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%A4%A7%E9%9B%81%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E4%BC%8A%E6%95%8F%E6%B2%B3%E4%B8%9C%E7%9F%BF%E5%8C%BA%E7%AC%AC%E4%B8%80%E7%85%A4%E7%9F%BF,Operating,5,2018,ROM,3.72,Estimated,3.75,Estimated,3.73,Estimated,3.49,Estimated,-,,-,,-,
M1791,China,Fanjiacun Coal Mine,,??????????????????,https://www.gem.wiki/%E9%84%82%E5%B0%94%E5%A4%9A%E6%96%AF%E5%B8%82%E8%92%99%E6%B3%B0%E8%8C%83%E5%AE%B6%E6%9D%91%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,2.4,2009,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,1.69,Estimated,-,
M1900,China,Fengshuigou Coal Mine,,??????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%B9%B3%E5%BA%84%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%A3%8E%E6%B0%B4%E6%B2%9F%E7%85%A4%E7%9F%BF,Operating,2.1,2008,ROM,1.56,Estimated,1.57,Estimated,1.56,Estimated,1.47,Estimated,1.48,Estimated,1.48,Estimated,-,
M2317,China,Fumin Coal Mine,,???????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%B1%87%E8%83%BD%E7%85%A4%E7%94%B5%E9%9B%86%E5%9B%A2%E5%AF%8C%E6%B0%91%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF,Operating,1.2,2008,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M2355,China,Fuquan Coal Mine,,???????????????,https://www.gem.wiki/%E9%98%BF%E6%8B%89%E5%96%84%E7%A6%8F%E6%B3%89%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF,Operating,1,1997,ROM,0.74,Estimated,0.75,Estimated,0.75,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M0222,China,Gaotouyao Coal Mine,,?????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%8C%97%E8%81%94%E7%94%B5%E8%83%BD%E6%BA%90%E5%BC%80%E5%8F%91%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%AB%98%E5%A4%B4%E7%AA%91%E7%85%A4%E7%9F%BF,Operating,10,2016,ROM,7.44,Estimated,5.99,Estimated,5.96,Estimated,5.58,Estimated,5.65,Estimated,5.65,Estimated,-,
M1916,China,Guanban Wusu Coal Mine,,?????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E7%89%B9%E5%BC%98%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%AE%98%E6%9D%BF%E4%B9%8C%E7%B4%A0%E7%85%A4%E7%9F%BF,Operating,2.4,1999,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,-,,-,
M0224,China,Guanzigou Coal Mine,,???????????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%BB%A1%E4%B8%96%E7%85%A4%E7%82%AD%E9%9B%86%E5%9B%A2%E7%BD%90%E5%AD%90%E6%B2%9F%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%EF%BC%88%E7%BD%90%E5%AD%90%E6%B2%9F%E7%85%A4%E7%9F%BF%EF%BC%89,Operating,6,2008,ROM,4.46,Estimated,4.49,Estimated,4.47,Estimated,4.19,Estimated,4.24,Estimated,4.24,Estimated,-,
M2455,China,Haibowan Surface Mine,,???????????????????,https://www.gem.wiki/%E7%A5%9E%E5%8D%8E%E9%9B%86%E5%9B%A2%E6%B5%B7%E5%8B%83%E6%B9%BE%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%9C%B2%E5%A4%A9%E7%85%A4%E7%9F%BF,Operating,2.1,2013,ROM,1.56,Estimated,1.57,Estimated,1.56,Estimated,1.47,Estimated,1.48,Estimated,1.48,Estimated,-,
M1949,China,Hongce Coal Mine,,?????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E4%BC%8A%E4%B8%9C%E9%9B%86%E5%9B%A2%E5%AE%8F%E6%B5%8B%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,2.4,2009,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,1.69,Estimated,-,
M0241,China,Hongjingta No. 1 Coal Mine,,??????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E4%BC%8A%E6%B3%B0%E7%85%A4%E7%82%AD%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%AE%8F%E6%99%AF%E5%A1%94%E4%B8%80%E7%9F%BF,Operating,3.9,2007,ROM,2.90,Estimated,2.92,Estimated,2.91,Estimated,2.72,Estimated,2.75,Estimated,3.53,Estimated,-,
M0243,China,Hongqinghe Coal Mine,,????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E4%BC%8A%E6%B3%B0%E5%B9%BF%E8%81%94%E7%85%A4%E5%8C%96%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%BA%A2%E5%BA%86%E6%B2%B3%E7%85%A4%E7%9F%BF,Operating,8,2018,ROM,5.95,Estimated,5.99,Estimated,5.96,Estimated,5.58,Estimated,-,,-,,-,
M1957,China,Hongya Caol Mine,,?????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%81%92%E4%B8%9C%E9%9B%86%E5%9B%A2%E5%AE%8F%E4%BA%9A%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF,Operating,1.5,2012,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M2441,China,Huangbaici Coal Mine,???????????????????,?????????????????,https://www.gem.wiki/%E5%9B%BD%E8%83%BD%E4%B9%8C%E6%B5%B7%E8%83%BD%E6%BA%90%E9%BB%84%E7%99%BD%E8%8C%A8%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,Operating,1.8,2004,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,-,
M0253,China,Huangyuchuan Coal Mine,,?????????????????,https://www.gem.wiki/%E7%A5%9E%E5%8D%8E%E4%BA%BF%E5%88%A9%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%BB%84%E7%8E%89%E5%B7%9D%E7%85%A4%E7%9F%BF,Operating,13,2016,ROM,9.67,Estimated,9.74,Estimated,7.45,Estimated,6.98,Estimated,-,,-,,-,
M2404,China,Huatugou Coal Mine,,??????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%87%86%E6%A0%BC%E5%B0%94%E6%97%97%E7%BE%8E%E6%97%A5%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%8A%B1%E5%9B%BE%E6%B2%9F%E7%85%A4%E7%9F%BF,Operating,1.2,2007,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M1968,China,Huhewusu Coal Mine,,???????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E8%92%99%E5%8F%91%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%91%BC%E5%92%8C%E4%B9%8C%E7%B4%A0%E7%85%A4%E7%9F%BF,Operating,1.2,2010,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M2429,China,Hulun Buir Yaxing Coal Mine No. 1 Well,????????????????,????????????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E7%89%99%E5%85%8B%E7%9F%B3%E4%BA%94%E4%B9%9D%E7%85%A4%E7%82%AD%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%89%99%E6%98%9F%E5%88%86%E5%85%AC%E5%8F%B8%E4%B8%80%E5%8F%B7%E4%BA%95,Operating,1.5,2019,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,-,,-,
M0255,China,Hulusu Coal Mine,,?????????????????,https://www.gem.wiki/%E4%B8%AD%E5%A4%A9%E5%90%88%E5%88%9B%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%91%AB%E8%8A%A6%E7%B4%A0%E7%85%A4%E7%9F%BF,Operating,8,2016,ROM,5.95,Estimated,5.99,Estimated,5.96,Estimated,5.58,Estimated,-,,-,,-,
M2390,China,Huneng Dingjialiang Coal Mine,,??????????????????????,https://www.gem.wiki/%E9%84%82%E5%B0%94%E5%A4%9A%E6%96%AF%E5%B8%82%E5%91%BC%E8%83%BD%E7%85%A4%E7%82%AD%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E4%B8%81%E5%AE%B6%E6%A2%81%E7%85%A4%E7%9F%BF,Operating,1.5,2020,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M0257,China,Huolinhe South Surface Mine,?????????????????????,??????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E9%9C%8D%E6%9E%97%E6%B2%B3%E9%9C%B2%E5%A4%A9%E7%85%A4%E4%B8%9A%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8D%97%E9%9C%B2%E5%A4%A9%E7%9F%BF,Operating,18,1984,ROM,7.44,Estimated,13.48,Estimated,13.41,Estimated,12.56,Estimated,12.71,Estimated,12.71,Estimated,-,
M1144,China,Huoluowan Coal Mine,,????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E7%A5%9E%E4%B8%9C%E5%A4%A9%E9%9A%86%E9%9B%86%E5%9B%A2%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%9C%8D%E6%B4%9B%E6%B9%BE%E7%85%A4%E7%9F%BF,Operating,3.8,1999,ROM,2.83,Estimated,2.25,Estimated,2.24,Estimated,2.09,Estimated,2.12,Estimated,3.45,Reported,-,
M2436,China,Husheng Coal Mine,,??????????????????,https://www.gem.wiki/%E5%91%BC%E4%BC%A6%E8%B4%9D%E5%B0%94%E5%91%BC%E7%9B%9B%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%91%BC%E7%9B%9B%E7%85%A4%E7%9F%BF,Operating,1.8,2004,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,-,
M0258,China,Inner Mongolia Erlintu Coal Mine,,?????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%B1%87%E8%83%BD%E9%9B%86%E5%9B%A2%E5%B0%94%E6%9E%97%E5%85%94%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%B0%94%E6%9E%97%E5%85%94%E7%85%A4%E7%9F%BF,Operating,8,2021,ROM,5.95,Estimated,5.99,Estimated,5.96,Estimated,-,,-,,-,,-,
M0259,China,Jiangjun Gebi No. 2 Coal Mine,,??????????????????????,https://www.gem.wiki/%E6%96%B0%E7%96%86%E5%A4%A9%E6%B1%A0%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%B0%86%E5%86%9B%E6%88%88%E5%A3%81%E4%BA%8C%E5%8F%B7%E9%9C%B2%E5%A4%A9%E7%85%A4%E7%9F%BF,Operating,30,2018,ROM,14.88,Estimated,18.73,Estimated,14.90,Estimated,6.98,Estimated,7.06,Estimated,7.06,Estimated,-,
M1110,China,Jinfeng Cuncaota Coal Mine,Cuncaota No.2 Coal Mine,???????????????????,https://www.gem.wiki/%E4%B8%AD%E5%9B%BD%E7%A5%9E%E5%8D%8E%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%87%91%E7%83%BD%E5%AF%B8%E8%8D%89%E5%A1%94%E7%85%A4%E7%9F%BF,Operating,4.5,1991,ROM,3.35,Estimated,3.37,Estimated,3.35,Estimated,1.68,Estimated,3.18,Estimated,-,,-,
M2319,China,Jintai Changtan Coal Mine,,???????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E9%94%A6%E6%B3%B0%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%95%BF%E6%BB%A9%E7%85%A4%E7%9F%BF,Operating,2.4,2010,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,1.69,Estimated,-,
M2004,China,Jintong Coal Mine,,???????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%8D%8E%E7%94%B5%E8%92%99%E8%83%BD%E9%87%91%E9%80%9A%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.5,2006,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M2374,China,Jinyuanli Coal Mine,,????????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%BA%90%E6%BA%90%E8%83%BD%E6%BA%90%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E9%87%91%E6%BA%90%E9%87%8C%E7%85%A4%E7%9F%BF,Operating,1.2,2007,ROM,0.89,Estimated,0.90,Estimated,0.89,Estimated,0.84,Estimated,0.85,Estimated,0.85,Estimated,-,
M1401,China,Kaida Coal Mine,,?????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E4%BC%8A%E6%B3%B0%E7%85%A4%E7%82%AD%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%87%AF%E8%BE%BE%E7%85%A4%E7%9F%BF,Operating,2.8,2019,ROM,2.08,Estimated,2.10,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,-,,-,
M2016,China,Laogongyingzi Coal Mine,,???????(??)????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%B9%B3%E5%BA%84%E7%85%A4%E4%B8%9A(%E9%9B%86%E5%9B%A2)%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%80%81%E5%85%AC%E8%90%A5%E5%AD%90%E7%85%A4%E7%9F%BF,Operating,1.8,2008,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,-,
M2423,China,Laoshidan Coal Mine,,?????????????????????,https://www.gem.wiki/%E5%9B%BD%E5%AE%B6%E8%83%BD%E6%BA%90%E9%9B%86%E5%9B%A2%E4%B9%8C%E6%B5%B7%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%80%81%E7%9F%B3%E6%97%A6%E7%85%A4%E7%9F%BF,Operating,1.5,2002,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M0276,China,Lijiahao Coal Mine,,?????????????????,https://www.gem.wiki/%E7%A5%9E%E5%8D%8E%E9%9B%86%E5%9B%A2%E5%8C%85%E5%A4%B4%E7%9F%BF%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%9D%8E%E5%AE%B6%E5%A3%95%E7%85%A4%E7%9F%BF,Operating,6,2016,ROM,4.46,Estimated,5.99,Estimated,4.47,Estimated,4.19,Estimated,4.24,Estimated,4.24,Estimated,-,
M1162,China,Lijiata Coal Mine,,????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E6%9D%8E%E5%AE%B6%E5%A1%94%E7%85%A4%E7%9F%BF,Operating,3,1998,ROM,2.23,Estimated,2.25,Estimated,2.24,Estimated,2.09,Estimated,2.12,Estimated,2.12,Estimated,-,
M1316,China,Limin Coal Mine,,?????????????????,https://www.gem.wiki/?????????????????,Operating,1.5,2019,ROM,1.12,Estimated,1.35,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,-,,-,
M0278,China,Lingdong Coal Mine,,????????????????,https://www.gem.wiki/%E6%89%8E%E8%B5%89%E8%AF%BA%E5%B0%94%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%81%B5%E4%B8%9C%E7%85%A4%E7%9F%BF,Operating,6.5,2011,ROM,4.84,Estimated,4.87,Estimated,4.84,Estimated,4.54,Estimated,4.59,Estimated,4.59,Estimated,-,
M1163,China,Linglu Coal Mine,,????????????????,https://www.gem.wiki/%E6%89%8E%E8%B5%89%E8%AF%BA%E5%B0%94%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%81%B5%E9%9C%B2%E7%85%A4%E7%9F%BF,Operating,3.9,2016,ROM,2.90,Estimated,2.92,Estimated,2.91,Estimated,2.72,Estimated,2.75,Estimated,2.75,Estimated,-,
M1164,China,Lingquan Coal Mine,,????????????????,https://www.gem.wiki/%E6%89%8E%E8%B5%89%E8%AF%BA%E5%B0%94%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E7%81%B5%E6%B3%89%E7%85%A4%E7%9F%BF,Operating,5,1936,ROM,3.72,Estimated,2.92,Estimated,2.91,Estimated,2.72,Estimated,2.75,Estimated,2.75,Estimated,-,
M2028,China,Liujia Coal Mine,,?????????????????,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%B9%B3%E5%BA%84%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%85%AD%E5%AE%B6%E7%85%A4%E7%9F%BF,Operating,1.8,2001,ROM,1.34,Estimated,1.35,Estimated,1.34,Estimated,1.26,Estimated,1.27,Estimated,1.27,Estimated,-,
M2031,China,Liulingou Coal Mine,,????????????????????,https://www.gem.wiki/%E9%84%82%E5%B0%94%E5%A4%9A%E6%96%AF%E5%B8%82%E5%A4%A7%E6%BA%90%E7%85%A4%E7%82%AD%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%9F%B3%E6%9E%97%E6%B2%9F%E7%85%A4%E7%9F%BF,Operating,2.4,2003,ROM,1.79,Estimated,1.50,Estimated,1.49,Estimated,1.40,Estimated,1.41,Estimated,1.41,Estimated,-,
