GEM_MINE_ID,EPA,EMAIL_SENT,MSHA_ID,COUNTRY,MINE_NAME,MINE_NAME_AKAS,MINE_NAME__NONENG,GEM_WIKI_URLS,STATUS,STATUS_DETAIL,PROJECT_TYPE,PROJECT_PHASE,OWNERS,OWNERS__NONENG,PARENT_COMPANY,COMPANY_HQS,CAPACITY__MTPA,PRODUCTION__MTPA,YEAR_OF_PRODUCTION,COAL_OUTPUT__ANNUAL_MST,MINE_TYPE,MINING_METHOD,MINE_SIZE__KM2,MINE_DEPTH__M,DEPTH_ACCURACY,WORKFORCE_SIZE,WORKFORCE_ACCURACY,COAL_TYPE,COAL_GRADE,TOTAL_RESERVES__PROVEN_AND_PROBABLE_MT,YEAR_OF_TOTAL_RESERVES_RECORDED,TOTAL_RESOURCE__INFERRED_INDICATED_MEASURED,RESERVE_TO_PRODUCTION_RATIO__RP,OPENING_YEAR,REPORTED_LIFE_OF_MINE,COALFIELD,LOCATION,PREFECTURE_DISTRICT,STATE_PROVINCE,SUBREGION,REGION,LATITUDE,LONGITUDE,LOCATION_ACCURACY,PRIMARY_CONSUMER_DESTINATION,COAL_PLANT_STEEL_PLANT_TERMINAL,COAL_PLANT_STEEL_PLANT_TERMINAL_GEM_WIKI,REPORTED_COAL_MINE_METHANE_EMISSIONS__THOUSAND_TONNES__CO2E,YEAR_OF_REPORTED_COAL_MINE_METHANE_EMISSIONS,GEM_COAL_MINE_METHANE_EMISSIONS_ESTIMATE__MCMYR,GEM_COAL_MINE_METHANE_EMISSIONS_ESTIMATE__M_TONNESYR,CMM_EMISSIONS__CO2E_20_YEARS,CMM_EMISSIONS__CO2E_100_YEARS,UPV_,SRON,GEM_FIRST_50_MINES,DATA_INTEGRATION_MINES,TOP_5_MINES,NOTES,YEAR_OF_COAL_OUTPUT,COAL_OUTPUT__ANNUAL_MT_REF,PERCENTAGE_OF_MET_COAL,PERCENTAGE_OF_THERMAL_COAL,MET_COAL_OUTPUT__MTPA,THERMAL_COAL_OUTPUT__MTPA,PERCENTAGE_REF,ACCURACY_RATING,MINE_BOUNDARIES_DELIVERY_DATE,POINT_SOURCE_LOCATION_DELIVERY_DATE,COMPANIES_AND_COUNTRIES_DELIVERY_DATE,MARS_DATA_DELIVERY_DATE,SCIENCE_STUDIES_DELIVERY_DATE,DATA_INTEGRATION_DELIVERY_DATE
M0010,,,,Australia,Bengalla Coal Mine,,,https://www.gem.wiki/Bengalla_mine,Operating,,,,Bengalla Mining Company,-,New Hope Group [80.0%]; Taiwan Power Co [20.0%],China,*,11.7,"2,022",,Surface,Open Pit,12,270,Exact,420,Exact,Subbituminous,Thermal,166,"2,023",350,14,"1,999",24,Hunter,Muswellbrook,,New South Wales,Australia and New Zealand,Oceania,-32.27,150.84,Exact,Terminal (Export),,,725.77,"2,022",54.4,0.04,3,1.1,,,,,,,,,,,,,,,,,,,,
M0011,,,,Australia,Blackwater Coal Mine,"Stewarton, Taurus, Tannyfoil, Wilpeena",,https://www.gem.wiki/Blackwater_mine,Operating,,,,BHP Billiton Mitsubishi Alliance Pty Ltd,-,BHP Group Ltd [50.0%]; Mitsubishi Corp [50.0%],Australia,*,14.29,"2,022",,Surface,Open Pit,210,60,Estimate,"1,554",Exact,Bituminous,Thermal & Met,372,-,"1,629",26,"1,967",20,Bowen,Blackwater,,Queensland,Australia and New Zealand,Oceania,-23.69,148.81,Exact,Terminal (Export),Hay Point Coal Terminal,https://www.gem.wiki/Hay_Point_Coal_Terminal,643.6,"2,022",75,0.05,4.1,1.5,,YES,,,,,"2,022",https://www.data.qld.gov.au/dataset/coal-industry-review-statistical-tables/resource/bab54159-f38b-4e6f-8652-4b04bca29139,75.24%,6.42%,10.75,0.92,https://www.data.qld.gov.au/dataset/coal-industry-review-statistical-tables/resource/bab54159-f38b-4e6f-8652-4b04bca29139,Accurate,,,4-Mar,,,
M0012,,,,Australia,Blair Athol Coal Mine,,,https://www.gem.wiki/Blair_Athol_mine,Operating,,,,Orion Mining,-,TerraCom Ltd [100.0%],Australia,2.8,2.78,"2,022",,Surface,Open Pit,-,50,Estimate,452,Estimate,Subbituminous,Thermal,16,"2,023",31,6,"1,924",-,,Clermont,,Queensland,Australia and New Zealand,Oceania,-22.7,147.54,Exact,,,,,,3.3,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,
M0013,,,,Australia,Bloomfield Coal Mine,,,https://www.gem.wiki/Bloomfield_Mine_and_Colliery,Operating,,,,Bloomfield Collieries Pty Limited,-,Bloomfield Group [100.0%],Australia,1.3,0.52,"2,022",,Surface,Open Pit,-,60,Estimate,100,Exact,Bituminous,Thermal & Met,4,"2,023",-,7,"1,937",10,,Cessnock,,New South Wales,Australia and New Zealand,Oceania,-32.79,151.58,Exact,,,,23.08,"2,022",2.7,0.0,0.2,0.1,,,,,,,,,,,,,,,,,4-Mar,,,
M0014,,,,Australia,Boggabri Coal Mine,"Boggabri Coal Modification 8 project, MOD8",,https://www.gem.wiki/Boggabri_coal_mine,Proposed,Permitted,Expansion,,Boggabri Coal Operations,-,Idemitsu Kosan Co Ltd [100.0%],"Japan, Australia",0.5,*,,,Surface,Open Pit,-,60,Estimate,572,Estimate,Bituminous,Thermal & Met,-,-,62,-,"2,025",6,,Boggabri,,New South Wales,Australia and New Zealand,Oceania,-30.61,150.16,Approximate,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,2.6,0.0,0.1,0.1,,YES,,,,Maules-Tarrawonga-Boggarbi Complex,"2,022",https://www.idemitsu.com.au/mining/wp-content/uploads/2016/02/310330-Boggabri-Coal-Mine-AR-22_.pdf,50.00%,50.00%,2.85,2.85,unknown,Approximate,,,,,,
M0014,,,,Australia,Boggabri Coal Mine,Boggabri Coal Expansion Project,,https://www.gem.wiki/Boggabri_coal_mine,Operating,,,,Boggabri Coal Operations,-,Idemitsu Kosan Co Ltd [100.0%],"Japan, Australia",*,5.7,"2,022",,Surface,Open Pit,20.56,60,Estimate,572,Estimate,Bituminous,Thermal & Met,-,-,-,-,"2,006",13,Gunnedah,Boggabri,,New South Wales,Australia and New Zealand,Oceania,-30.61,150.16,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,177.44,"2,022",29.9,0.02,1.7,0.6,,,,,,,,,,,,,,,,,4-Mar,,,
M0016,,,,Australia,Broadmeadow Coal Mine,,,https://www.gem.wiki/Broadmeadow_mine,Operating,,,,BM Alliance Coal Operations Pty Ltd,-,BHP [50.0%]; Mitsubishi Corp [50.0%],Australia,*,8.4,"2,022",,Underground,Longwall,-,500,Estimate,712,Estimate,Bituminous,Met,165,-,"1,010",20,"2,005",-,Bowen,Moranbah,,Queensland,Australia and New Zealand,Oceania,-21.8,147.98,Exact,,,,,,185.4,0.12,10.2,3.7,,,,,,,,,,,,,,,,,4-Mar,,,
M0017,,,,Australia,Bulga Coal Mine,"Bulga Optimization Project Modification 3, Bulga Extension Project",,https://www.gem.wiki/Bulga_coal_mine,Proposed,,Extension,,Bulga Coal Management [BCM],-,Glencore PLC [72.6%]; ENEOS Australia Pty Ltd [13.3%]; Nippon Steel Corp [12.5%],"Switzerland, Japan",*,*,,,Surface,Open Pit,0.2,90,Exact,-,-,Bituminous,Thermal,63,-,-,-,"2,026",3,Hunter,Bulga,,New South Wales,Australia and New Zealand,Oceania,-32.68,151.1,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,,,-,-,-,-,,,,,,,,,,,,,,,,,,,,
M0017,,,,Australia,Bulga Coal Mine,,,https://www.gem.wiki/Bulga_coal_mine,Operating,,,,Bulga Coal Management [BCM],-,Glencore PLC [72.6%]; ENEOS Australia Pty Ltd [13.3%]; Nippon Steel Corp [12.5%],"Switzerland, Japan",12.2,6.35,"2,022",,Underground & Surface,Mixed,55,60,Estimate,750,Exact,Bituminous,Thermal & Met,159,-,"2,830",25,"1,982",-,Hunter,Bulga,,New South Wales,Australia and New Zealand,Oceania,-32.68,151.1,Exact,Terminal (Export),Port of Newcastle,https://www.gem.wiki/Port_of_Newcastle,474.48,"2,022",33.3,0.02,1.8,0.7,,,,,YES,,"2,022",https://www.glencore.com.au/.rest/api/v1/documents/1644d288774b3217aadf973744e0c6cc/Annual+Review+2022.pdf,50.00%,50.00%,3.18,3.18,unknown,Approximate,14-Mar,14-Mar,4-Mar,,14-Mar,
M0018,,,,Australia,Byerwen Coal Mine,Byerwen Coal Project,,https://www.gem.wiki/Byerwen_Coal_Project,Operating,,,,Byerwen Coal,-,QCoal [85.0%]; JFE Holdings Inc [15.0%],"Australia, Japan",10,6.2,"2,022",,Surface,Open Pit,69.97,60,Estimate,545,Exact,Bituminous,Thermal & Met,-,-,690,-,"2,017",-,,Glenden,,Queensland,Australia and New Zealand,Oceania,-21.24,147.84,Exact,Terminal (Export),Abbot Point Coal Terminal,https://www.gem.wiki/Abbot_Point_Coal_Terminal,338.09,"2,022",32.5,0.02,1.8,0.6,,,,,,,"2,022",https://www.data.qld.gov.au/dataset/coal-industry-review-statistical-tables/resource/bab54159-f38b-4e6f-8652-4b04bca29139,38.88%,26.33%,2.41,1.63,https://www.data.qld.gov.au/dataset/coal-industry-review-statistical-tables/resource/bab54159-f38b-4e6f-8652-4b04bca29139,Accurate,,14-Mar,4-Mar,,,
M0019,,,,Australia,Callide Coal Mine,,,https://www.gem.wiki/Callide_mine,Operating,,,,Batchfire Resources,-,Batchfire Resources [100%],Australia,11,7.59,"2,022",,Surface,Open Pit,176,50,Estimate,700,Exact,Subbituminous,Thermal,244,"2,012","1,700",32,"1,944",-,Callide Basin,Biloela,,Queensland,Australia and New Zealand,Oceania,-24.31,150.62,Exact,Coal Plant,Callide power station,https://www.gem.wiki/Callide_power_station,,,9.1,0.01,0.5,0.2,,,,,,,,,,,,,,,,14-Mar,,,,
M0020,,,,Australia,Cameby Downs Coal Mine,,,https://www.gem.wiki/Cameby_Downs_mine,Operating,,,,Syntech Resources,-,Shandong Energy Group Co Ltd [70.0%]; Shandong Guohui Investment Co Ltd [20.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],China,3.5,2.86,"2,022",,Surface,Open Pit,-,60,Estimate,180,Exact,Bituminous,Thermal,85,"2,022",-,30,"2,010",-,,Dalby,,Queensland,Australia and New Zealand,Oceania,-26.62,150.35,Exact,,,,,,15,0.01,0.8,0.3,,,,,,,,,,,,,,,,14-Mar,,,,
M0020,,,,Australia,Cameby Downs Coal Mine,Cameby Downs Continuation Project,,https://www.gem.wiki/Cameby_Downs_mine,Proposed,Permitted,Expansion,,Syntech Resources,-,Shandong Energy Group Co Ltd [70.0%]; Shandong Guohui Investment Co Ltd [20.0%]; Shandong Caixin Asset Operation Co Ltd [10.0%],China,3,*,,,Surface,Open Pit,79.11,50,Estimate,-,-,Subbituminous,Thermal,234,-,-,78,-,-,,Dalby,,Queensland,Australia and New Zealand,Oceania,-26.65,150.34,Exact,Terminal (Export),Port of Brisbane,,,,3.6,0.0,0.2,0.1,,,,,,,,,,,,,,,,14-Mar,,,,
