country,sensor,date,validation,1,2,3,4,5,6,7,8,9,10,11,12
Iraq,Sentinel-5P/TROPOMI - ESA,11/09/2023,1,2,2,2,2,2,1,1,1,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,23/02/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Ukraine,Sentinel-5P/TROPOMI - ESA,31/03/2019,1,1,1,2,2,2,2,2,2,2,2,1,0
Saudi Arabia,Sentinel-5P/TROPOMI - ESA,12/10/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,16/10/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,17/11/2021,1,2,2,2,2,2,2,1,0,1,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,16/09/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,01/04/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,31/07/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,15/03/2023,1,0,0,2,2,2,1,2,1,2,1,0,0
India,Sentinel-5P/TROPOMI - ESA,31/12/2023,1,1,2,2,2,2,2,0,1,1,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,15/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,05/12/2020,1,1,0,2,1,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,09/02/2023,0,2,1,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,13/10/2023,1,1,2,2,2,2,2,2,2,2,2,1,1
Pakistan,Sentinel-5P/TROPOMI - ESA,21/11/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,16/11/2021,1,2,1,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,01/07/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,24/08/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,25/12/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,Sentinel-5P/TROPOMI - ESA,04/03/2022,0,0,0,1,2,2,1,1,2,1,0,0,0
Kuwait,Sentinel-5P/TROPOMI - ESA,24/12/2023,1,2,2,2,2,2,1,2,2,2,2,2,2
Libya,Sentinel-5P/TROPOMI - ESA,01/07/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Mexico,Sentinel-5P/TROPOMI - ESA,18/02/2023,1,2,2,2,1,2,2,1,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,24/02/2022,0,0,1,2,1,2,2,1,2,1,0,0,0
Syria,Sentinel-5P/TROPOMI - ESA,18/11/2021,1,2,2,2,2,2,1,1,1,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,25/10/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,28/08/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,13/11/2023,1,2,2,2,2,2,2,1,2,2,2,2,2
Libya,Sentinel-5P/TROPOMI - ESA,06/02/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,28/02/2023,1,2,2,1,2,2,2,2,0,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,31/12/2023,1,2,2,2,2,2,1,0,1,1,2,2,2
Jordan,Sentinel-5P/TROPOMI - ESA,11/10/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,10/07/2023,1,1,2,2,2,2,2,2,2,2,2,1,1
Canada,Sentinel-5P/TROPOMI - ESA,28/09/2022,1,0,2,2,2,2,2,2,2,2,2,2,0
Latvia,Sentinel-5P/TROPOMI - ESA,18/03/2022,1,0,1,2,1,2,2,2,1,1,0,0,0
Russia,Sentinel-5P/TROPOMI - ESA,04/03/2022,0,0,0,1,2,1,1,2,1,1,0,0,0
Iran,Sentinel-5P/TROPOMI - ESA,12/01/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Belarus,Sentinel-5P/TROPOMI - ESA,18/03/2022,1,0,1,2,1,2,2,1,2,1,0,0,0
China,Sentinel-5P/TROPOMI - ESA,01/04/2024,1,2,2,2,2,2,2,2,2,2,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,14/06/2019,1,2,2,2,2,2,2,1,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,03/02/2023,1,2,2,2,2,2,2,1,1,2,1,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,01/11/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,28/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,16/09/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,15/10/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,01/11/2024,1,2,2,2,2,2,1,2,2,2,1,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,30/11/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,28/08/2021,0,0,0,1,1,1,1,1,1,0,0,0,0
USA,Sentinel-5P/TROPOMI - ESA,10/05/2020,1,2,2,2,2,2,2,1,1,1,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,10/03/2023,1,0,1,2,2,2,2,2,2,1,2,1,0
Algeria,Sentinel-5P/TROPOMI - ESA,28/12/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,24/10/2023,1,2,1,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,02/07/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Argentina,Sentinel-5P/TROPOMI - ESA,10/01/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,01/06/2024,1,2,2,2,2,2,2,0,0,0,2,2,1
USA,Sentinel-5P/TROPOMI - ESA,11/07/2020,0,1,2,1,2,2,1,1,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,16/08/2022,1,0,1,2,2,2,2,2,2,2,1,0,0
Pakistan,Sentinel-5P/TROPOMI - ESA,20/12/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,06/03/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,01/04/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,09/06/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Spain,Sentinel-5P/TROPOMI - ESA,23/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,11/09/2019,0,2,2,2,2,2,1,1,0,1,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,11/06/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Jordan,Sentinel-5P/TROPOMI - ESA,28/02/2022,1,2,2,2,2,2,2,1,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,11/12/2023,1,2,2,2,2,2,2,1,0,1,2,2,2
