country,sensor,date,validation,1,2,3,4,5,6,7,8,9,10,11,12
USA,Sentinel-5P/TROPOMI - ESA,10/05/2020,1,2,2,2,2,2,1,1,0,1,1,2,2
Libya,Sentinel-5P/TROPOMI - ESA,25/02/2021,1,2,2,2,2,2,2,1,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,14/01/2024,1,2,2,2,2,1,0,0,0,1,2,2,2
China,Sentinel-5P/TROPOMI - ESA,23/02/2020,0,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,Sentinel-5P/TROPOMI - ESA,10/04/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,24/10/2022,1,2,2,2,2,2,2,1,2,2,2,2,2
Poland,Sentinel-5P/TROPOMI - ESA,03/02/2023,0,1,1,2,2,1,2,2,2,2,1,1,0
India,Sentinel-5P/TROPOMI - ESA,01/04/2024,1,2,2,2,2,2,2,1,0,1,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,17/10/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,31/01/2023,1,2,2,2,2,1,0,0,0,1,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,15/03/2022,0,0,1,1,2,2,2,2,2,2,1,1,0
USA,Sentinel-5P/TROPOMI - ESA,24/01/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,01/02/2023,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,Sentinel-5P/TROPOMI - ESA,29/07/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,29/04/2022,1,0,1,2,2,1,2,2,2,1,1,0,0
Algeria,Sentinel-5P/TROPOMI - ESA,14/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
South Africa,Sentinel-5P/TROPOMI - ESA,06/09/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,10/03/2023,1,2,2,2,2,2,2,1,1,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,21/11/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,06/07/2023,1,1,2,2,2,2,2,2,2,2,2,2,1
Pakistan,Sentinel-5P/TROPOMI - ESA,02/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,Sentinel-5P/TROPOMI - ESA,10/03/2020,1,2,2,2,2,2,1,1,0,1,1,2,2
Iran,Sentinel-5P/TROPOMI - ESA,09/11/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,19/05/2021,1,0,0,2,2,2,2,2,1,1,1,0,0
China,Sentinel-5P/TROPOMI - ESA,23/10/2023,1,2,2,2,2,2,1,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,23/04/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,01/03/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,10/04/2019,1,1,2,2,2,2,2,2,2,2,2,2,1
Russia,Sentinel-5P/TROPOMI - ESA,28/09/2021,0,0,0,2,2,2,2,2,2,1,0,0,0
Pakistan,Sentinel-5P/TROPOMI - ESA,23/12/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,12/05/2022,0,2,2,2,1,1,0,0,0,1,2,2,2
China,Sentinel-5P/TROPOMI - ESA,03/05/2023,1,2,2,2,2,2,2,1,1,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,30/08/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,14/02/2022,1,2,2,2,2,2,1,0,0,0,2,2,2
India,Sentinel-5P/TROPOMI - ESA,12/01/2021,1,2,2,2,2,1,0,0,0,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,01/02/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Mexico,Sentinel-5P/TROPOMI - ESA,27/02/2023,0,1,1,2,1,2,2,2,2,2,2,1,2
USA,Sentinel-5P/TROPOMI - ESA,31/01/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,18/04/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,01/12/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,26/06/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,04/10/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,09/11/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,01/09/2021,1,2,2,2,1,1,0,0,0,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,24/12/2022,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,Sentinel-5P/TROPOMI - ESA,18/08/2021,1,1,2,2,2,1,2,2,2,2,2,0,1
India,Sentinel-5P/TROPOMI - ESA,03/01/2022,1,2,2,2,2,1,0,0,1,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,10/06/2023,1,2,2,2,2,2,2,1,2,1,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,12/08/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Myanmar,Sentinel-5P/TROPOMI - ESA,01/08/2020,0,2,2,2,2,2,2,1,1,1,1,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,22/09/2022,1,1,2,2,2,2,2,2,2,2,2,2,1
Algeria,Sentinel-5P/TROPOMI - ESA,18/02/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,28/12/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,06/07/2019,1,0,1,2,2,2,2,2,2,2,1,0,0
China,Sentinel-5P/TROPOMI - ESA,01/04/2020,1,2,2,2,2,2,1,1,2,2,2,2,2
Argentina,Sentinel-5P/TROPOMI - ESA,20/02/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,09/05/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Argentina,Sentinel-5P/TROPOMI - ESA,30/09/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,12/01/2022,1,2,2,2,2,2,2,1,2,1,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,11/05/2023,1,1,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,24/10/2021,0,2,2,2,2,2,2,1,1,2,1,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,30/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Germany,Sentinel-5P/TROPOMI - ESA,24/06/2019,1,0,0,2,2,1,2,2,2,2,1,0,0
Pakistan,Sentinel-5P/TROPOMI - ESA,19/12/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,01/05/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,22/12/2021,1,2,2,2,2,2,2,0,1,1,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,10/07/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,19/10/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,25/11/2021,1,2,2,2,2,1,0,0,0,1,2,2,2
India,Sentinel-5P/TROPOMI - ESA,24/12/2021,1,2,2,2,2,2,2,1,0,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,18/03/2022,1,0,1,2,2,2,2,2,1,1,0,1,0
Russia,Sentinel-5P/TROPOMI - ESA,25/09/2023,1,0,1,2,2,2,2,2,2,2,1,1,0
USA,Sentinel-5P/TROPOMI - ESA,25/11/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,14/08/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,24/11/2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,Sentinel-5P/TROPOMI - ESA,31/08/2021,1,2,2,2,2,2,2,1,2,2,2,2,2
South Africa,Sentinel-5P/TROPOMI - ESA,18/06/2023,1,2,2,2,2,2,2,2,2,2,2,2,1
India,Sentinel-5P/TROPOMI - ESA,12/10/2022,0,2,2,2,2,1,0,0,0,1,1,2,2
USA,Sentinel-5P/TROPOMI - ESA,21/09/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,04/04/2021,1,2,2,2,2,2,2,1,1,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,21/05/2023,1,0,0,2,2,2,1,2,2,2,1,0,0
India,Sentinel-5P/TROPOMI - ESA,21/11/2023,1,2,2,2,2,2,2,1,2,1,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,12/02/2023,1,1,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,26/11/2022,1,0,1,2,1,2,2,2,1,2,2,2,1
USA,Sentinel-5P/TROPOMI - ESA,09/07/2020,1,1,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,16/08/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Bangladesh,Sentinel-5P/TROPOMI - ESA,27/01/2022,1,2,2,2,2,1,0,0,0,1,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,16/05/2019,1,0,0,1,1,2,1,2,1,1,1,0,0
China,Sentinel-5P/TROPOMI - ESA,31/01/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Saudi Arabia,Sentinel-5P/TROPOMI - ESA,11/10/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,07/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,02/01/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,14/05/2021,1,0,0,1,2,2,2,1,1,1,0,1,0
Russia,Sentinel-5P/TROPOMI - ESA,18/03/2022,1,0,0,2,1,1,1,1,1,1,0,0,0
USA,Sentinel-5P/TROPOMI - ESA,24/09/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,23/09/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,16/08/2021,1,1,1,2,2,2,2,2,2,2,2,0,1
Kazakhstan,Sentinel-5P/TROPOMI - ESA,05/04/2023,1,1,2,2,2,2,2,2,2,2,2,1,1
Algeria,Sentinel-5P/TROPOMI - ESA,12/03/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,03/02/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,24/06/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,06/04/2019,1,0,1,0,2,1,2,2,2,2,1,0,0
Canada,Sentinel-5P/TROPOMI - ESA,24/07/2019,1,1,2,2,2,2,2,2,2,2,2,2,1
South Africa,Sentinel-5P/TROPOMI - ESA,17/04/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,29/03/2023,1,1,2,2,2,2,2,2,2,2,2,1,1
India,Sentinel-5P/TROPOMI - ESA,04/05/2023,1,1,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,14/09/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Ukraine,Sentinel-5P/TROPOMI - ESA,18/11/2021,0,0,1,2,2,2,2,2,2,2,2,1,0
China,Sentinel-5P/TROPOMI - ESA,10/10/2023,1,2,2,2,2,2,2,1,1,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,11/01/2020,0,1,2,2,2,2,2,1,2,2,2,2,2
Kuwait,Sentinel-5P/TROPOMI - ESA,15/10/2020,1,2,2,2,2,2,1,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,04/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,Sentinel-5P/TROPOMI - ESA,03/06/2019,1,1,2,2,2,2,2,2,2,2,2,1,1
India,Sentinel-5P/TROPOMI - ESA,23/02/2023,1,2,2,2,2,2,2,1,1,1,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,13/09/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,16/02/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,12/05/2022,1,2,2,2,2,2,2,1,2,1,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,15/02/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,23/10/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,12/08/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,08/12/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,14/03/2023,0,0,1,1,1,2,1,2,1,1,1,1,0
Russia,Sentinel-5P/TROPOMI - ESA,25/08/2023,1,0,0,2,2,2,2,2,2,2,1,0,0
India,Sentinel-5P/TROPOMI - ESA,24/11/2021,1,2,2,2,1,1,0,0,0,1,2,2,2
Jordan,Sentinel-5P/TROPOMI - ESA,17/11/2023,1,2,2,2,2,2,2,1,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,12/09/2020,0,2,2,2,2,2,2,1,1,1,2,2,2
India,Sentinel-5P/TROPOMI - ESA,01/05/2023,0,2,2,2,2,1,0,0,0,1,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,14/03/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,24/06/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,13/07/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,27/10/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,17/11/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,29/09/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,14/02/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,12/02/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,02/02/2023,1,1,2,2,2,2,2,1,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,28/10/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Poland,Sentinel-5P/TROPOMI - ESA,21/09/2020,1,1,1,2,2,1,2,2,2,2,1,1,0
Russia,Sentinel-5P/TROPOMI - ESA,15/06/2023,1,0,2,2,2,2,2,2,2,2,1,1,0
Australia,Sentinel-5P/TROPOMI - ESA,29/11/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,12/03/2020,1,2,2,2,2,1,0,0,0,1,1,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,09/11/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,13/10/2020,1,0,1,2,2,2,2,2,2,2,2,1,1
Iran,Sentinel-5P/TROPOMI - ESA,30/06/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,25/04/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,01/11/2024,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,01/01/2020,1,2,2,2,2,2,1,0,0,0,2,2,2
Argentina,Sentinel-5P/TROPOMI - ESA,10/07/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,30/03/2023,1,1,1,2,2,2,2,2,2,2,2,2,1
Pakistan,Sentinel-5P/TROPOMI - ESA,24/09/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Bangladesh,Sentinel-5P/TROPOMI - ESA,16/01/2024,1,2,2,2,2,2,0,1,0,1,2,2,2
India,Sentinel-5P/TROPOMI - ESA,01/09/2024,0,2,2,2,2,1,0,0,0,1,1,2,2
India,Sentinel-5P/TROPOMI - ESA,10/06/2023,1,1,2,2,2,2,2,2,1,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,11/07/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,09/11/2021,1,2,2,2,2,1,0,0,0,1,2,2,2
Ukraine,Sentinel-5P/TROPOMI - ESA,09/10/2021,1,0,1,2,2,2,2,2,2,2,2,1,1
India,Sentinel-5P/TROPOMI - ESA,20/10/2021,1,1,2,2,2,2,2,1,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,13/01/2024,0,1,1,1,1,1,1,0,0,0,1,1,1
Argentina,Sentinel-5P/TROPOMI - ESA,09/05/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Myanmar,Sentinel-5P/TROPOMI - ESA,30/01/2020,1,2,2,2,2,2,2,1,1,1,1,2,2
China,Sentinel-5P/TROPOMI - ESA,11/03/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,28/08/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,13/06/2021,0,0,0,1,2,2,1,1,1,1,0,0,0
India,Sentinel-5P/TROPOMI - ESA,21/12/2021,1,2,2,2,2,1,0,0,0,1,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,16/11/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,30/12/2019,1,2,2,2,2,2,2,1,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,12/12/2023,1,1,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,29/11/2022,1,2,2,2,1,1,0,0,0,1,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,20/09/2022,1,0,1,2,2,2,2,2,2,2,2,1,0
India,Sentinel-5P/TROPOMI - ESA,13/02/2022,1,2,2,2,2,1,0,0,1,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,23/07/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,07/06/2021,1,0,1,2,2,2,2,2,2,1,1,0,0
Russia,Sentinel-5P/TROPOMI - ESA,26/09/2020,0,0,0,1,1,0,1,1,1,1,0,0,0
Pakistan,Sentinel-5P/TROPOMI - ESA,06/08/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Uzbekistan,Sentinel-5P/TROPOMI - ESA,16/03/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,27/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,26/01/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,27/09/2021,0,2,2,2,2,2,2,1,0,1,2,2,2
South Africa,Sentinel-5P/TROPOMI - ESA,27/05/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,26/08/2020,1,2,1,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,04/02/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,22/09/2020,1,1,1,1,2,2,2,2,2,2,2,1,1
India,Sentinel-5P/TROPOMI - ESA,30/01/2023,1,2,2,2,1,1,0,0,0,1,2,2,2
India,Sentinel-5P/TROPOMI - ESA,01/02/2024,1,2,2,2,2,1,0,0,0,2,2,2,2
China,Sentinel-5P/TROPOMI - ESA,28/01/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,19/12/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,28/05/2022,1,2,1,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,04/04/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,18/07/2021,1,0,0,2,2,2,2,2,2,1,1,0,0
Poland,Sentinel-5P/TROPOMI - ESA,20/07/2022,1,1,1,2,2,1,2,2,2,2,1,1,0
Kazakhstan,Sentinel-5P/TROPOMI - ESA,09/10/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,30/11/2020,1,2,2,2,2,2,2,1,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,23/10/2022,1,2,2,2,2,2,2,1,2,1,2,2,2
China,Sentinel-5P/TROPOMI - ESA,10/09/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,25/03/2021,1,0,1,2,2,2,2,2,2,2,0,0,0
USA,Sentinel-5P/TROPOMI - ESA,25/01/2022,1,2,2,2,2,2,1,1,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,23/11/2022,1,2,2,2,1,1,0,0,0,1,2,2,2
India,Sentinel-5P/TROPOMI - ESA,17/12/2023,1,2,2,2,2,1,0,0,0,1,2,2,2
India,Sentinel-5P/TROPOMI - ESA,12/06/2023,1,1,2,2,2,2,2,2,2,2,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,03/03/2020,1,2,2,2,2,1,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,24/06/2020,1,0,1,1,2,2,2,1,2,1,0,0,0
Iraq,Sentinel-5P/TROPOMI - ESA,29/07/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,03/01/2020,1,2,2,2,2,1,0,0,0,1,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,17/03/2020,1,1,1,2,2,2,2,2,2,2,2,0,1
Algeria,Sentinel-5P/TROPOMI - ESA,01/04/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Mexico,Sentinel-5P/TROPOMI - ESA,04/04/2022,1,1,1,2,2,2,2,2,2,2,2,1,2
Algeria,Sentinel-5P/TROPOMI - ESA,27/01/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,04/01/2019,1,2,2,2,2,2,1,0,0,0,2,2,2
Kuwait,Sentinel-5P/TROPOMI - ESA,28/05/2019,1,2,2,2,2,2,1,1,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,21/01/2023,1,2,2,2,2,2,2,0,0,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,02/06/2023,1,2,2,2,2,2,2,0,0,1,2,2,2
USA,Sentinel-5P/TROPOMI - ESA,07/04/2021,1,2,2,2,2,2,1,1,0,1,1,2,2
Poland,Sentinel-5P/TROPOMI - ESA,31/05/2019,0,1,1,2,1,1,2,1,2,1,1,1,0
Russia,Sentinel-5P/TROPOMI - ESA,06/03/2021,0,0,0,1,2,2,2,1,1,1,0,0,0
Russia,Sentinel-5P/TROPOMI - ESA,05/06/2022,1,0,1,1,2,2,2,2,2,2,2,0,1
India,Sentinel-5P/TROPOMI - ESA,03/04/2023,1,2,2,2,2,1,0,0,0,1,1,2,2
Russia,Sentinel-5P/TROPOMI - ESA,06/05/2023,1,0,1,2,2,2,2,2,2,1,1,1,0
Australia,Sentinel-5P/TROPOMI - ESA,23/11/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
South Africa,Sentinel-5P/TROPOMI - ESA,27/05/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,10/06/2020,1,1,2,2,2,2,2,2,2,2,2,2,2
Australia,Sentinel-5P/TROPOMI - ESA,27/10/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Iran,Sentinel-5P/TROPOMI - ESA,09/03/2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,Sentinel-5P/TROPOMI - ESA,15/08/2021,1,2,2,2,2,2,2,2,2,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,21/11/2019,1,2,2,2,2,2,2,2,2,2,2,2,2
Mexico,Sentinel-5P/TROPOMI - ESA,23/02/2019,0,2,1,2,2,2,1,1,1,1,1,1,2
USA,Sentinel-5P/TROPOMI - ESA,21/02/2020,0,0,1,2,1,2,2,2,2,1,2,2,0
Russia,Sentinel-5P/TROPOMI - ESA,18/03/2022,1,0,1,2,2,2,2,2,2,2,2,1,0
India,Sentinel-5P/TROPOMI - ESA,11/04/2022,1,1,2,2,2,2,2,0,1,2,2,2,2
Algeria,Sentinel-5P/TROPOMI - ESA,31/01/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,18/01/2022,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,Sentinel-5P/TROPOMI - ESA,11/04/2023,1,2,2,2,2,2,2,1,1,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,03/10/2022,0,0,0,1,1,1,1,1,1,0,0,0,0
Algeria,Sentinel-5P/TROPOMI - ESA,29/01/2020,1,2,2,2,2,2,2,2,2,2,2,2,2
India,Sentinel-5P/TROPOMI - ESA,28/09/2023,0,2,2,2,2,1,0,0,0,1,2,2,2
Kazakhstan,Sentinel-5P/TROPOMI - ESA,24/04/2021,1,1,2,2,2,2,2,2,2,2,2,1,1
Russia,Sentinel-5P/TROPOMI - ESA,16/08/2023,1,0,1,2,1,2,2,0,2,2,0,0,0
India,Sentinel-5P/TROPOMI - ESA,02/09/2023,0,2,2,2,2,2,2,0,0,1,2,2,2
Ukraine,Sentinel-5P/TROPOMI - ESA,25/05/2023,1,0,0,2,2,2,1,2,2,2,2,0,0
Uzbekistan,Sentinel-5P/TROPOMI - ESA,20/04/2023,1,2,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,03/02/2022,0,0,1,1,1,2,1,1,1,1,1,0,0
Algeria,Sentinel-5P/TROPOMI - ESA,28/10/2022,1,2,2,2,2,2,2,2,2,2,2,2,2
Pakistan,Sentinel-5P/TROPOMI - ESA,11/07/2020,1,1,2,2,2,2,2,2,2,2,2,2,2
Russia,Sentinel-5P/TROPOMI - ESA,18/06/2021,1,0,0,1,2,1,2,1,1,1,0,0,0
India,Sentinel-5P/TROPOMI - ESA,30/12/2020,1,2,2,2,2,1,0,0,0,1,2,2,2
