,Country,Code,UNFCCC,Year_UNFCCC,IEA (2022),IEA (2023),Shen et. al. (2018-2020)
134,Turkmenistan,TKM,,,,,<1
135,Timor-Leste,TLS,,,,,
136,Tunisia,TUN,,,,,<1
137,Türkiye,TUR,,,,,200
138,Tuvalu,TUV,,,,,
139,Tanzania,TZA,0.6,1994,0.1800000072,0.20000000298023,7
140,Uganda,UGA,,,,,<1
141,Ukraine,UKR,196.16,2021,349.87,546.68,300
142,Uruguay,URY,,,,0.0,<1
143,United States of America,USA,18.12,2021,2019.53,1975.1699999999998,2600
144,Uzbekistan,UZB,5.7,2012,5.68,4.6,3
145,"Venezuela, Bolivarian Republic of",VEN,4.0,1999,0.420187999010086,0.5100000095,100
146,Vietnam,VNM,92.8,2013,15.1,556.85,270
147,Yemen,YEM,,,0.02800000086,0.03,<1
148,South Africa,ZAF,316.9,1994,1130.8799999999999,1568.79,610
149,Zambia,ZMB,0.1,2000,,,1
150,Zimbabwe,ZWE,7.2,2006,,,9
