Category,Year,Ch4 Kt,Country
1.B.1.a.i Underground Mines,2019,536.27,Portugal
1.B.1.a.i Underground Mines,2020,535.74,Portugal
1.B.1.a.i Underground Mines,Last Inventory Year (2021),516.28,Portugal
1.B.1.a.i Underground Mines,Base year,5.59,Romania
1.B.1.a.i Underground Mines,Base year,5.59,Romania
1.B.1.a.i Underground Mines,Base year,5.59,Romania
1.B.1.a.i Underground Mines,1990,5.59,Romania
1.B.1.a.i Underground Mines,1990,5.59,Romania
1.B.1.a.i Underground Mines,1990,5.59,Romania
1.B.1.a.i Underground Mines,1991,5.21,Romania
1.B.1.a.i Underground Mines,1991,5.21,Romania
1.B.1.a.i Underground Mines,1991,5.21,Romania
1.B.1.a.i Underground Mines,1992,4.73,Romania
1.B.1.a.i Underground Mines,1992,4.73,Romania
1.B.1.a.i Underground Mines,1992,4.73,Romania
1.B.1.a.i Underground Mines,1993,4.64,Romania
1.B.1.a.i Underground Mines,1993,4.64,Romania
1.B.1.a.i Underground Mines,1993,4.64,Romania
1.B.1.a.i Underground Mines,1994,3.63,Romania
1.B.1.a.i Underground Mines,1994,3.63,Romania
