plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20171011t183437-A,34.75584,-117.27687,2017-10-11T18:34:37+00,Oil & Gas (1B2),CH4,mf,"[-117.27781715469365, 34.754543169529974, -117.27532027669007, 34.75659458335708]",ang,2024-02-15 18:37:07.383225+00:00,,,,,36.11160675467573,19.736808547686085,1.357421875,0.452880859375,29.56930276614339,24.666723922865135,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t185051-A,34.75584,-117.27687,2017-10-11T18:50:51+00,Oil & Gas (1B2),CH4,mf,"[-117.27871803132007, 34.75384926431807, -117.27500565988545, 34.75692631562259]",ang,2024-02-15 18:37:07.354415+00:00,,,,,12.008618632025804,4.041264756661399,1.357421875,0.452880859375,29.56930276614339,24.666723922865135,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t185846-A,34.75584,-117.27687,2017-10-11T18:58:46+00,Oil & Gas (1B2),CH4,mf,"[-117.27859431282401, 34.75425646879712, -117.27488192320214, 34.75733352000309]",ang,2024-02-15 18:37:07.324811+00:00,,,,,90.0,31.0,1.49,0.25,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t191143-A,34.75584,-117.27687,2017-10-11T19:11:43+00,Oil & Gas (1B2),CH4,mf,"[-117.27858283772409, 34.75393383899957, -117.27487054690224, 34.75698382977103]",ang,2024-02-15 18:37:07.286576+00:00,,,,,192.8538686501789,59.25308017435833,1.5546875,0.43994140625,13.988284623020412,30.778864038181954,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t192654-A,34.75584,-117.27687,2017-10-11T19:26:54+00,Oil & Gas (1B2),CH4,mf,"[-117.27829466272613, 34.75472619983557, -117.27458225206195, 34.757803250977474]",ang,2024-02-27 20:15:37.737431+00:00,,,,,111.15338282116836,33.38334974890823,1.5546875,0.43994140625,13.988284623020412,30.778864038181954,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t193623-A,34.75584,-117.27687,2017-10-11T19:36:23+00,Oil & Gas (1B2),CH4,mf,"[-117.27763048864276, 34.7548330907258, -117.27515556031098, 34.75688445820004]",ang,2024-02-27 20:15:37.680656+00:00,,,,,68.27055380601274,27.527760349186703,1.5546875,0.43994140625,13.988284623020412,30.778864038181954,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t194255-A,34.75584,-117.27687,2017-10-11T19:42:55+00,Oil & Gas (1B2),CH4,mf,"[-117.27825772363951, 34.75381684239027, -117.27527907855254, 34.75624609344898]",ang,2024-02-27 20:15:38.262957+00:00,,,,,57.64046742416609,38.54394390789925,1.5546875,0.43994140625,13.988284623020412,30.778864038181954,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t195646-A,34.75584,-117.27687,2017-10-11T19:56:46+00,Oil & Gas (1B2),CH4,mf,"[-117.27874048717167, 34.75511008116987, -117.27626555089489, 34.757161448348484]",ang,2024-02-27 20:15:54.685442+00:00,,,,,42.200364738172404,15.311634864226656,1.5546875,0.43994140625,13.988284623020412,30.778864038181954,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t200410-A,34.75584,-117.27687,2017-10-11T20:04:10+00,Oil & Gas (1B2),CH4,mf,"[-117.2777579040518, 34.754783583574216, -117.2740454906271, 34.75786063486579]",ang,2024-02-27 20:15:37.619189+00:00,,,,,126.07405919354593,75.40411282604161,2.01171875,0.83154296875,330.94376738392964,52.25640220260165,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t201056-A,34.75584,-117.27687,2017-10-11T20:10:56+00,Oil & Gas (1B2),CH4,mf,"[-117.2775816369227, 34.75383134949026, -117.2738692658549, 34.756908401158725]",ang,2024-02-15 18:37:07.414079+00:00,,,,,78.2843453287098,41.58070157639934,2.01171875,0.83154296875,330.94376738392964,52.25640220260165,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171011t203837-A,34.75584,-117.27687,2017-10-11T20:38:37+00,Oil & Gas (1B2),CH4,mf,"[-117.2777571880698, 34.75377039925473, -117.27404481978336, 34.7568474508887]",ang,2024-02-27 20:15:38.096696+00:00,,,,,107.67003961341912,46.99222692198871,2.01171875,0.83154296875,330.94376738392964,52.25640220260165,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171012t174516-A,34.568512,-118.153581,2017-10-12T17:45:16+00,Solid Waste (6A),CH4,mf,"[-118.15573679966921, 34.56666618430229, -118.15069287477563, 34.5708366759664]",ang,2023-05-14 20:21:18.068565+00:00,,,,,128.0,33.0,2.7,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171012t195433-A,34.71394111,-114.4933822,2017-10-12T19:54:33+00,Oil & Gas (1B2),CH4,mf,"[-114.49648592127257, 34.71359917745483, -114.49241622642542, 34.71694443517654]",ang,2023-05-14 20:21:18.052084+00:00,,,,,41.0,19.0,2.23,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171012t204106-A,34.306402,-116.821573,2017-10-12T20:41:06+00,Solid Waste (6A),CH4,mf,"[-116.82310245902696, 34.30529038320782, -116.82049470742653, 34.307444479029655]",ang,2023-05-14 20:21:18.071990+00:00,,,,,139.0,67.0,4.06,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171012t205425-A,34.55665073,-117.4501303,2017-10-12T20:54:25+00,Oil & Gas (1B2),CH4,mf,"[-117.45104244429295, 34.555832947140836, -117.44822385194284, 34.5581722279307]",ang,2023-05-14 20:23:19.261102+00:00,,,,,,,1.79,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t184728-A,35.254551,-119.285793,2017-10-13T18:47:28+00,Oil & Gas (1B2),CH4,mf,"[-119.28770564400759, 35.25299285870439, -119.2839069940357, 35.25612179330642]",ang,2023-05-14 20:21:18.064310+00:00,,,,,96.0,14.0,1.2,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t191520-A,35.317251,-119.254953,2017-10-13T19:15:20+00,Oil & Gas (1B2),CH4,mf,"[-119.25704353828068, 35.315849185860046, -119.25324190215946, 35.31897815002248]",ang,2023-05-14 20:23:19.266422+00:00,,,,,66.0,8.0,1.7,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t193251-A,35.36895,-119.181273,2017-10-13T19:32:51+00,Oil & Gas (1B2),CH4,mf,"[-119.18236435466447, 35.36679092888611, -119.17856019993529, 35.36989301828259]",ang,2023-05-14 20:23:19.263963+00:00,,,,,40.0,17.0,1.81,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20171013t194607-A,35.41422554542024,-119.20182631750237,2017-10-13T19:46:07+00,Livestock (4B),CH4,mf,"[-119.20354129370801, 35.41222764805267, -119.19970186873745, 35.415329760224594]",ang,2024-02-27 20:19:37.760790+00:00,,,,,27.16002049317566,15.38302359181726,1.89453125,0.7197265625,333.3248430455823,13.390870196999336,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
