plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
emi20230107t143754p09002-A,-33.0946228986947,-71.63859956514342,2023-01-07T14:37:54+00,Solid Waste (6A),CH4,mfa,"[-71.70507930052737, -33.162074680356454, -71.56865498663112, -33.0482931177478]",emi,2023-06-22 18:03:31.672974+00:00,,,,,1945.360176543793,302.80476265339615,3.259259259259259,0.5073195382149156,242.66666666666666,2.494438257849294,openmeteo,ISS,NASA-JPL EMIT
emi20230107t143806p09003-C,-33.693641223318984,-70.79135640112754,2023-01-07T14:38:06+00,Solid Waste (6A),CH4,mfa,"[-70.854402468104, -33.7311069368526, -70.71927803333283, -33.618161083116014]",emi,2023-06-20 21:52:01.722134+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT
emi20230107t143806p09003-D,-33.52777969710355,-70.86970267894172,2023-01-07T14:38:06+00,Solid Waste (6A),CH4,mfa,"[-70.94195416668012, -33.581308623265876, -70.80647162169886, -33.46885980188083]",emi,2023-06-20 22:06:08.119984+00:00,,,,,1575.4242534402435,309.1948948754957,2.0833333333333335,0.4088778178855485,257.6666666666667,2.6246692913372702,openmeteo,ISS,NASA-JPL EMIT
emi20230107t143818p09004-B,-34.23194410912348,-70.70728953726261,2023-01-07T14:38:18+00,Solid Waste (6A),CH4,mfa,"[-70.76978666514256, -34.292994321005814, -70.63426442010119, -34.18046182891731]",emi,2023-06-20 17:09:27.893328+00:00,,,,,1989.465232742811,222.91316886596667,1.7685185185185184,0.1981568014725249,259.3333333333333,4.784233364802441,openmeteo,ISS,NASA-JPL EMIT
emi20230107t143917p09009-A,-36.36495083479759,-67.07262956908546,2023-01-07T14:39:17+00,Oil & Gas (1B2),CH4,mfa,"[-67.14373210630991, -36.42455546453927, -67.00691563984189, -36.31438953212136]",emi,2023-06-21 17:50:27.342259+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT
emi20230111t130107p08002-A,-32.954569629181584,-70.79684113696386,2023-01-11T13:01:07+00,Solid Waste (6A),CH4,mfa,"[-70.83930390535454, -32.99144074821542, -70.70453802195779, -32.87882966320663]",emi,2023-06-20 18:03:41.644515+00:00,,,,,941.1394766113457,167.96598227189614,0.8333333333333334,0.14872572596489828,218.66666666666666,14.974051630144134,openmeteo,ISS,NASA-JPL EMIT
ang20230113t182254-A,-32.95315152841947,-70.79778603123975,2023-01-13T18:22:54+00,Solid Waste (6A),CH4,mf,"[-70.8140403867605, -32.96467400192219, -70.77579985566427, -32.93251754547942]",ang,2023-06-05 14:41:15.848154+00:00,,,,,980.8805171845319,160.21515564841147,2.2685185185185186,0.10227186127025242,245.66666666666666,2.6246692913372702,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230113t195520-A,-33.52448068446775,-70.58769912665807,2023-01-13T19:55:20+00,Other,CH4,mf,"[-70.59673318606194, -33.53043769184934, -70.57811522771303, -33.514916508765445]",ang,2023-06-05 14:43:50.993031+00:00,,,,,1093.7400614351045,326.2311898096221,2.925925925925926,0.10718367502583538,255.33333333333334,1.699673171197595,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
emi20230113t211248p13003-A,-16.277534135047404,-71.64804344040422,2023-01-13T21:12:48+00,Solid Waste (6A),CH4,mfa,"[-71.70630423674909, -16.33431092999557, -71.58023957183322, -16.213828184003464]",emi,2023-06-20 16:17:48.220548+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT
ang20230114t145726-A,-34.23487616991995,-70.70168413014258,2023-01-14T14:57:26+00,Solid Waste (6A),CH4,mf,"[-70.72108864510287, -34.24938253915672, -70.69647404045003, -34.22897526991876]",ang,2023-06-05 14:37:52.069429+00:00,,,,,884.1718931698241,165.60905326681026,2.1203703703703707,0.0796511598800244,270.3333333333333,6.944222218666553,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230114t145726-B,-34.23400555895725,-70.70462330869915,2023-01-14T14:57:26+00,Solid Waste (6A),CH4,mf,"[-70.72108864510287, -34.24938253915672, -70.69647404045003, -34.22897526991876]",ang,2023-06-05 14:37:40.733639+00:00,,,,,514.6751056434575,67.8967344138146,2.1203703703703707,0.0796511598800244,270.3333333333333,6.944222218666553,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230114t151711-A,-34.821944590474395,-71.18055703708058,2023-01-14T15:17:11+00,Solid Waste (6A),CH4,mf,"[-71.18997933455195, -34.830673327318145, -71.17107845499753, -34.81508884112866]",ang,2023-06-05 14:34:55.230138+00:00,,,,,638.6055475787175,59.96071824134107,1.9166666666666667,0.022680460581325734,299.3333333333333,4.189935029992179,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230114t153245-A,-35.32876973440936,-71.64718989517988,2023-01-14T15:32:45+00,Solid Waste (6A),CH4,mf,"[-71.66082201526163, -35.335888418605485, -71.63937991808389, -35.318326245969025]",ang,2023-06-05 14:33:24.101770+00:00,,,,,928.5772803968188,244.7468855173593,1.5277777777777777,0.1712337223046938,338.6666666666667,7.408703590297623,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230114t155437-A,-35.327917903873214,-71.64644145698273,2023-01-14T15:54:37+00,Solid Waste (6A),CH4,mf,"[-71.66405205679379, -35.33426292164477, -71.64190076014042, -35.31625749704526]",ang,2023-06-05 14:32:29.219294+00:00,,,,,457.11137532536253,86.65680314715061,1.5277777777777777,0.1712337223046938,338.6666666666667,7.408703590297623,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230114t155437-B,-35.32963350982689,-71.64760017127901,2023-01-14T15:54:37+00,Solid Waste (6A),CH4,mf,"[-71.66405205679379, -35.33426292164477, -71.64190076014042, -35.31625749704526]",ang,2023-06-05 14:32:43.653558+00:00,,,,,763.7639442509902,160.1007536019507,1.5277777777777777,0.1712337223046938,338.6666666666667,7.408703590297623,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230114t160529-A,-34.82394425108469,-71.18199920903089,2023-01-14T16:05:29+00,Solid Waste (6A),CH4,mf,"[-71.18673611567327, -34.838065469125254, -71.1603489265353, -34.81637343953294]",ang,2023-08-22 20:24:03.895857+00:00,,,,,238.54647179404924,55.129647944921466,1.9444444444444444,0.06000685831859126,294.3333333333333,3.299831645537222,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230114t163317-B,-33.693372795331356,-70.79714762527253,2023-01-14T16:33:17+00,,CH4,mf,"[-70.80559207307412, -33.70201281364348, -70.7854660584407, -33.68526765351921]",ang,2023-06-07 13:24:52.427496+00:00,,,,,280.69383566985346,71.84975516873725,2.6296296296296293,0.0796511598800244,260.6666666666667,1.247219128924647,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20230114t173408-A,-33.47260451577599,-70.78534806439484,2023-01-14T17:34:08+00,Waste Water (6B),CH4,mf,"[-70.79409483449886, -33.48096548664064, -70.77393111945564, -33.46421969897233]",ang,2023-06-06 20:42:39.771117+00:00,,,,,275.8000672506724,71.08251640890887,3.0833333333333335,0.039283710065919374,247.33333333333334,0.4714045207910317,openmeteo,AVIRIS-NG,NASA-JPL AVIRIS-NH
