plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20220228t215349-A,34.325815,-118.515558,2022-02-28T21:53:49+00,Solid Waste (6A),CH4,mf,,ang,2023-05-14 20:21:18.058426+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t182228-A,33.797174,-117.461732,2022-03-02T18:22:28+00,Solid Waste (6A),CH4,mf,"[-117.46388406039397, 33.79533225692706, -117.45932342420457, 33.79909880336177]",ang,2023-05-14 20:23:19.258255+00:00,,,,,1033.416432,516.6829391,2.071,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t182946-A,33.715718,-117.697324,2022-03-02T18:29:46+00,Solid Waste (6A),CH4,mf,"[-117.69885325929882, 33.71465258157821, -117.69543071402062, 33.717524642401166]",ang,2023-05-14 20:23:41.657738+00:00,,,,,253.3476399,121.1269889,2.47,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t182946-B,33.720865,-117.703204,2022-03-02T18:29:46+00,Solid Waste (6A),CH4,mf,"[-117.7051181172959, 33.71946596477034, -117.70163472637788, 33.72236328050332]",ang,2023-05-14 20:24:17.877585+00:00,,,,,350.661087,189.8411281,2.47,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t184722-A,34.328494,-118.516111,2022-03-02T18:47:22+00,Solid Waste (6A),CH4,mf,"[-118.51965502053518, 34.32655194011338, -118.51430252972418, 34.33094782293691]",ang,2023-05-14 20:25:09.768288+00:00,,,,,695.7833833,365.5991464,1.801,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t185439-A,34.403933,-118.99706,2022-03-02T18:54:39+00,Solid Waste (6A),CH4,mf,"[-118.99890060958947, 34.402265398649185, -118.99539086050952, 34.40516121147388]",ang,2023-05-14 20:32:18.144401+00:00,,,,,514.6156278,299.083848,1.439,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t195344-A,33.720324,-117.703238,2022-03-02T19:53:44+00,Solid Waste (6A),CH4,mf,"[-117.7055214716654, 33.718775253854716, -117.70200789918441, 33.72167250319164]",ang,2023-05-14 20:24:17.879255+00:00,,,,,477.9515358,185.6085434,2.802,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t200003-A,33.796276,-117.462914,2022-03-02T20:00:03+00,Solid Waste (6A),CH4,mf,"[-117.46479419998784, 33.79496888858837, -117.4611626143997, 33.797963409711464]",ang,2023-05-14 20:23:19.263715+00:00,,,,,648.8269327,252.3979344,1.687,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t201838-A,34.3302,-118.517751,2022-03-02T20:18:38+00,Solid Waste (6A),CH4,mf,"[-118.52131157161335, 34.32667976313293, -118.51431652506751, 34.332456324129126]",ang,2023-05-14 20:32:18.145748+00:00,,,,,597.4165249,168.1023999,3.32,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220302t205915-A,34.405117,-118.994027,2022-03-02T20:59:15+00,Solid Waste (6A),CH4,mf,"[-118.99608354335513, 34.40287957239731, -118.98908340568093, 34.40865508235605]",ang,2023-05-14 20:32:18.146085+00:00,,,,,1123.290598,591.7484539,2.565,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220308t221613-A,34.327481,-118.518051,2022-03-08T22:16:13+00,Solid Waste (6A),CH4,mf,"[-118.5206539950206, 34.324951157741914, -118.51662393739095, 34.328279326164115]",ang,2023-05-14 20:32:18.147425+00:00,,,,,1384.986561,534.9127848,4.661,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220311t185338-A,33.715342,-117.70036,2022-03-11T18:53:38+00,Solid Waste (6A),CH4,mf,"[-117.70172451488799, 33.71418376102316, -117.69833660623547, 33.71697754058178]",ang,2023-05-14 20:32:18.148093+00:00,,,,,719.107532,307.0592637,8.997,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220311t191344-A,34.325482,-118.517633,2022-03-11T19:13:44+00,Solid Waste (6A),CH4,mf,"[-118.51927836430957, 34.323930687184024, -118.51503051019534, 34.327438758779664]",ang,2023-05-14 20:32:18.149478+00:00,,,,,1858.819974,471.0486532,8.446,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220311t192131-A,34.403755,-118.997204,2022-03-11T19:21:31+00,Solid Waste (6A),CH4,mf,"[-118.99918434281155, 34.40228941569837, -118.99564407308742, 34.405210409122496]",ang,2023-05-14 20:32:18.144739+00:00,,,,,550.4067913,144.1836654,7.427,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220311t200606-A,34.325744,-118.516348,2022-03-11T20:06:06+00,Solid Waste (6A),CH4,mf,"[-118.51769806711738, 34.3247176861746, -118.51453939274217, 34.32730376570162]",ang,2023-05-14 20:21:18.074120+00:00,,,,,1289.844935,529.3241909,8.046,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20220311t202515-A,33.720566,-117.704825,2022-03-11T20:25:15+00,Solid Waste (6A),CH4,mf,"[-117.70729584480667, 33.718425599028976, -117.7031484397452, 33.72185094748853]",ang,2023-05-14 20:32:18.150169+00:00,,,,,856.9973957,322.5256253,7.391,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
