plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20180916t204323-F,33.852115142173815,-118.33383037773815,2018-09-16T20:43:23+00,Electricity Generation (1A1),CO2,mfa,"[-118.33557563885105, 33.85069903582521, -118.33158939703537, 33.854009513203636]",ang,2023-11-29 05:21:11.710449+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t205046-B,33.85290578970829,-118.3348090812243,2018-09-16T20:50:46+00,Electricity Generation (1A1),CO2,mfa,"[-118.33579778355279, 33.851607593096176, -118.33181150000254, 33.85491806992218]",ang,2023-11-29 05:20:40.030130+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t210628-D,33.78079810563479,-118.23960369142975,2018-09-16T21:06:28+00,Electricity Generation (1A1),CO2,mfa,"[-118.2410460264647, 33.77973436452136, -118.23706285136781, 33.783045040713326]",ang,2023-11-29 05:20:42.718399+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t210628-E,33.778283362519105,-118.23528164128683,2018-09-16T21:06:28+00,,CO2,mfa,"[-118.23734161259787, 33.77688555313078, -118.23335856426343, 33.78019623407431]",ang,2023-11-29 05:20:43.256152+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t210628-F,33.786788334232426,-118.2359382541645,2018-09-16T21:06:28+00,Electricity Generation (1A1),CO2,mfa,"[-118.23774383733836, 33.7856258806834, -118.2337604770787, 33.78896527030055]",ang,2023-11-29 05:20:43.794351+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t210628-I,33.79620681888555,-118.23708821121272,2018-09-16T21:06:28+00,Electricity Generation (1A1),CO2,mfa,"[-118.2384614792731, 33.794651413667985, -118.2344428789925, 33.79796216305541]",ang,2023-11-29 05:20:47.037368+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t211358-C,33.81643909951673,-118.2457245709439,2018-09-16T21:13:58+00,Electricity Generation (1A1),CO2,mfa,"[-118.24688258839304, 33.811255985319164, -118.23679936542564, 33.81963347464978]",ang,2023-11-29 05:20:48.259597+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t211358-G,33.8226518213679,-118.2427444133298,2018-09-16T21:13:58+00,Electricity Generation (1A1),CO2,mfa,"[-118.24442887668285, 33.82093706254619, -118.24044389520253, 33.82427643300766]",ang,2023-11-29 05:20:48.797447+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t211358-H,33.82238725630582,-118.24290774761718,2018-09-16T21:13:58+00,Electricity Generation (1A1),CO2,mfa,"[-118.24456340771482, 33.82067590865132, -118.24057834805308, 33.823986567053375]",ang,2023-11-29 05:20:49.870440+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20180916t212943-B,33.77479006506488,-118.2887244336141,2018-09-16T21:29:43+00,Electricity Generation (1A1),CO2,mfa,"[-118.29057973220152, 33.77290880178163, -118.28659693195792, 33.77624821771262]",ang,2023-11-29 05:20:52.053926+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
