plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
ang20160910t185702-A,34.44705,-118.588342,2016-09-10T18:57:02+00,Oil & Gas (1B2),CH4,mf,"[-118.58905815683724, 34.446226529739015, -118.5868200243496, 34.44807220189263]",ang,2023-05-14 20:23:32.886182+00:00,,,,,132.0,50.0,1.17,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t191651-A,34.44705,-118.588342,2016-09-10T19:16:51+00,Oil & Gas (1B2),CH4,mf,"[-118.58937878706071, 34.44672765344584, -118.58610005939477, 34.449431420536754]",ang,2023-05-14 20:23:32.894185+00:00,,,,,89.0,52.0,2.05,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t192242-A,34.44705,-118.588342,2016-09-10T19:22:42+00,Oil & Gas (1B2),CH4,mf,"[-118.58888521341498, 34.44642778303941, -118.58660775739874, 34.44832206867774]",ang,2023-05-14 20:23:32.887518+00:00,,,,,185.0,70.0,2.05,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t193531-A,33.928061,-118.429593,2016-09-10T19:35:31+00,Waste Water (6B),CH4,mf,"[-118.43045260924013, 33.92723403953544, -118.42844036045916, 33.928903680725]",ang,2023-05-14 20:23:32.896070+00:00,,,,,114.0,41.0,2.47,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t193531-B,33.906,-118.4063,2016-09-10T19:35:31+00,Electricity Generation (1A1),CH4,mf,"[-118.40746391361286, 33.90503272056674, -118.40546951082406, 33.906687985598715]",ang,2024-02-13 20:09:04.899343+00:00,,,,,76.63094627288427,47.37821936199643,2.322265625,0.85498046875,272.79716486631713,3.898421947762515,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t193531-C,33.905431,-118.406435,2016-09-10T19:35:31+00,Electricity Generation (1A1),CH4,mf,"[-118.4070588610539, 33.904604710731086, -118.40504717171041, 33.9062599379332]",ang,2023-05-14 20:23:32.896008+00:00,,,,,49.0,16.0,2.47,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t193531-F,33.905983,-118.403489,2016-09-10T19:35:31+00,Electricity Generation (1A1),CH4,mf,"[-118.40457666469536, 33.90515294456135, -118.40253027558322, 33.90686574623778]",ang,2023-05-14 20:23:32.895867+00:00,,,,,,,2.47,,,,hrrr,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t193531-G,33.9126896030005,-118.41088174957919,2016-09-10T19:35:31+00,Electricity Generation (1A1),CO2,mfa,"[-118.41166317139334, 33.912026226392214, -118.40965131160242, 33.91368144971116]",ang,2023-11-29 05:18:54.684470+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t193531-H,33.90573631300522,-118.40215088705206,2016-09-10T19:35:31+00,Electricity Generation (1A1),CO2,mfa,"[-118.4027120573257, 33.904640731748245, -118.39834173019626, 33.90826788234645]",ang,2023-11-29 05:18:55.232202+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
ang20160910t193531-J,33.91492456784482,-118.4115400175686,2016-09-10T19:35:31+00,Electricity Generation (1A1),CO2,mfa,"[-118.41235496239064, 33.914096054467954, -118.41034305464437, 33.91575127703895]",ang,2023-11-29 05:18:55.784656+00:00,,,,,,,,,,,,AVIRIS-NG,NASA-JPL AVIRIS-NH
