plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider
GAO20210427t173055p0000-2,28.94238901,-89.71738326,2021-04-27T17:30:55+00,Oil & Gas (1B2),CH4,mfm,"[-89.72068073196675, 28.93988470778852, -89.71471022169415, 28.945109536124708]",GAO,2023-05-14 20:25:09.786888+00:00,,,,,173.8848582,74.27121506,5.201,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t164347p0000-1,30.0346727,-94.046918,2021-04-28T16:43:47+00,Electricity Generation (1A1),CH4,mfm,"[-94.0491553039268, 30.033462950349563, -94.04500713081292, 30.037054096618935]",GAO,2023-05-14 20:25:09.772806+00:00,,,,,486.737552,159.3226711,7.726,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t165000p0000-1,30.0698225,-94.066859,2021-04-28T16:50:00+00,Electricity Generation (1A1),CH4,mfm,"[-94.06898388583826, 30.068108551456657, -94.06483429912257, 30.07169966492722]",GAO,2023-05-14 20:23:41.657312+00:00,,,,,1116.706017,277.4842816,7.391,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t170718p0000-1,30.05352027,-93.75811768,2021-04-28T17:07:18+00,Electricity Generation (1A1),CH4,mfm,"[-93.76034588820586, 30.05183299229607, -93.75623304914379, 30.05542439255296]",GAO,2023-05-14 20:24:17.883250+00:00,,,,,2906.651566,1228.71833,8.271,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t170718p0000-2,30.0542547,-93.751225,2021-04-28T17:07:18+00,Electricity Generation (1A1),CH4,mfm,"[-93.75330561768544, 30.052315485045472, -93.7491928561844, 30.055875297879265]",GAO,2023-05-14 20:25:09.767014+00:00,,,,,2195.383009,654.9083865,8.229,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t170718p0000-3,30.0530877,-93.756444,2021-04-28T17:07:18+00,Electricity Generation (1A1),CH4,mfm,"[-93.75863540675063, 30.05133747074013, -93.75452269022516, 30.054897279804056]",GAO,2023-05-14 20:24:17.868238+00:00,,,,,3138.98681,755.0975749,8.271,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t171630p0000-1,30.173013,-93.355795,2021-04-28T17:16:30+00,Electricity Generation (1A1),CH4,mfm,"[-93.3591064604011, 30.17191816357386, -93.35327541104675, 30.176959100654116]",GAO,2023-05-14 20:25:09.781130+00:00,,,,,815.1828542,219.3987836,8.352,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t172347p0000-1,30.17310051,-93.35578459,2021-04-28T17:23:47+00,Electricity Generation (1A1),CH4,mfm,"[-93.36049413336283, 30.17195550905148, -93.35265883077345, 30.178729059188473]",GAO,2023-05-14 20:23:41.648848+00:00,,,,,1833.722463,1022.206392,8.352,,,,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t173030p0000-B,30.036630861583916,-93.33219793911869,2021-04-28T17:30:30+00,,CH4,mf,"[-93.34670950631364, 30.034776937051262, -93.32665557218135, 30.05213654326267]",GAO,2024-03-07 16:51:13.446394+00:00,,,,,3351.9323711332813,568.8184368254174,8.1953125,1.263671875,155.1339773354729,5.088728664389023,hrrr,Global Airborne Observatory,ASU GDCS
GAO20210428t175223p0000-1,30.21084002,-93.29384363,2021-04-28T17:52:23+00,Oil & Gas (1B2),CH4,mfm,"[-93.29625084890955, 30.20958843682952, -93.2920946215631, 30.213180143923072]",GAO,2023-05-14 20:24:17.864140+00:00,,,,,1124.412126,368.553345,7.47,,,,hrrr,Global Airborne Observatory,ASU GDCS
